0,00366210900000000000
0,07592941000000000000
0,09676310000000000000
0,17953000000000000000
0,03614878000000000000
0,12656650000000000000
0,16482870000000000000
0,19878060000000000000
0,27618100000000000000
0,23707820000000000000
0,24460900000000000000
0,08331940000000000000
1,07899500000000000000
1,06093800000000000000
1,17452400000000000000
1,29407000000000000000
2,05416600000000000000
2,00555600000000000000
2,85326700000000000000
4,18634900000000000000
15,09754000000000000000
10,06889000000000000000
3,99316000000000000000
1,71331000000000000000
1,46204700000000000000
0,95503120000000000000
0,78250520000000000000
1,02435000000000000000
1,01603800000000000000
0,66193120000000000000
0,61907130000000000000
0,52447950000000000000
1,14771800000000000000
1,50612300000000000000
0,68509460000000000000
0,94831400000000000000
1,06440200000000000000
1,39589100000000000000
2,02215900000000000000
4,35462000000000000000
9,09113000000000000000
41,65974000000000000000
6,47033000000000000000
3,65638000000000000000
3,42720800000000000000
2,44771600000000000000
2,03856600000000000000
2,12650700000000000000
2,08661700000000000000
1,69691600000000000000
1,97564200000000000000
0,93273430000000000000
1,66757600000000000000
1,94147100000000000000
1,57071200000000000000
1,56891800000000000000
2,73132900000000000000
1,74458800000000000000
3,51125600000000000000
4,94370800000000000000
7,41617400000000000000
42,99365000000000000000
10,44931000000000000000
4,94390600000000000000
3,38936100000000000000
2,51729400000000000000
1,53856100000000000000
0,94714500000000000000
1,10176900000000000000
0,49054370000000000000
0,20480590000000000000
0,11617520000000000000
0,96374710000000000000
0,55938450000000000000
0,35017610000000000000
1,52341700000000000000
1,38101100000000000000
1,24805700000000000000
1,53267500000000000000
2,49587200000000000000
5,04987000000000000000
15,17500000000000000000
26,52994000000000000000
7,39057500000000000000
3,85639100000000000000
3,55988900000000000000
2,20134400000000000000
2,02767700000000000000
1,56785400000000000000
2,03000300000000000000
1,68410600000000000000
1,50934300000000000000
1,61333800000000000000
1,31905600000000000000
1,03695900000000000000
1,34272800000000000000
1,04090900000000000000
1,26155100000000000000
1,20932100000000000000
1,62322000000000000000
1,25684800000000000000
1,95506400000000000000
14,20716000000000000000
1,52539600000000000000
0,47936190000000000000
0,66516210000000000000
0,36911760000000000000
0,77094510000000000000
0,56912390000000000000
0,48140730000000000000
0,71654300000000000000
0,61038940000000000000
0,58137970000000000000
0,53024260000000000000
0,62386500000000000000
0,44286140000000000000
0,45179120000000000000
0,47817020000000000000
0,71049260000000000000
0,59654800000000000000
0,54222060000000000000
0,49705470000000000000
1,50852200000000000000
1,04324500000000000000
0,31365190000000000000
0,55793920000000000000
0,14825480000000000000
0,64461820000000000000
0,30802150000000000000
0,42406550000000000000
0,19919320000000000000
0,43988840000000000000
0,26752950000000000000
0,38676040000000000000
0,20742310000000000000
0,46746350000000000000
0,17288400000000000000
0,63327810000000000000
0,32144900000000000000
0,51152800000000000000
0,33120440000000000000
0,39043610000000000000
0,44506700000000000000
11,94453000000000000000
0,63475950000000000000
0,19749980000000000000
0,70995990000000000000
0,34950690000000000000
0,38921630000000000000
0,48243340000000000000
0,32768760000000000000
0,60995620000000000000
0,53074470000000000000
0,54394230000000000000
0,75076260000000000000
0,37347770000000000000
0,79162320000000000000
0,67940030000000000000
0,47259820000000000000
0,81792350000000000000
0,79468040000000000000
1,58940200000000000000
1,98267400000000000000
6,90035500000000000000
9,40538800000000000000
3,10249900000000000000
1,99656500000000000000
1,44544500000000000000
0,99174340000000000000
1,04536100000000000000
0,73410240000000000000
0,71540050000000000000
0,75773390000000000000
0,64386970000000000000
0,54056680000000000000
0,28458120000000000000
0,55717530000000000000
0,34098440000000000000
0,30651140000000000000
0,37118050000000000000
0,31584440000000000000
0,71317110000000000000
0,63609510000000000000
0,81456740000000000000
10,27768000000000000000
1,59573400000000000000
1,12401400000000000000
1,05412100000000000000
0,37981720000000000000
0,51003810000000000000
0,43045920000000000000
0,40121190000000000000
0,43630980000000000000
0,41938630000000000000
0,50618600000000000000
0,68052640000000000000
0,13957070000000000000
0,37866960000000000000
0,16368690000000000000
0,33789500000000000000
0,34235750000000000000
0,23135410000000000000
0,18724060000000000000
0,35256620000000000000
1,27820800000000000000
5,19896800000000000000
1,11940400000000000000
0,87149320000000000000
0,55903840000000000000
0,75971660000000000000
0,39717610000000000000
0,58660490000000000000
0,51241880000000000000
0,11764010000000000000
0,40186690000000000000
0,38433860000000000000
0,42571670000000000000
0,35627190000000000000
0,37571460000000000000
0,45902560000000000000
0,52925030000000000000
0,37970530000000000000
0,39092240000000000000
0,17290310000000000000
0,52867410000000000000
1,35477700000000000000
0,84571000000000000000
0,63843320000000000000
0,40427020000000000000
0,55768560000000000000
0,40612750000000000000
0,39446330000000000000
0,35412930000000000000
0,24855030000000000000
0,29980830000000000000
0,28476820000000000000
0,32822430000000000000
0,30972620000000000000
0,33437230000000000000
0,31072570000000000000
0,36469590000000000000
0,24049990000000000000
0,33951970000000000000
0,28216300000000000000
0,34760550000000000000
0,46074630000000000000
0,58452000000000000000
0,35745740000000000000
0,26355800000000000000
0,32019240000000000000
0,24491500000000000000
0,27473300000000000000
0,25013940000000000000
0,21841450000000000000
0,28139240000000000000
0,28282410000000000000
0,26921910000000000000
0,27400010000000000000
0,24510670000000000000
0,30664260000000000000
0,29388700000000000000
0,23028310000000000000
0,24115340000000000000
0,26758430000000000000
0,27112230000000000000
0,31523430000000000000
0,57662980000000000000
0,56247010000000000000
0,13002400000000000000
0,19434700000000000000
0,19357250000000000000
0,20776400000000000000
0,15749040000000000000
0,21451070000000000000
0,20889100000000000000
0,24142530000000000000
0,21879560000000000000
0,22039350000000000000
0,22215720000000000000
0,22380970000000000000
0,23387220000000000000
0,20369530000000000000
0,22813120000000000000
0,19681290000000000000
0,24712760000000000000
0,26559030000000000000
0,32589950000000000000
0,22813750000000000000
0,19144240000000000000
0,18931320000000000000
0,13923010000000000000
0,12541300000000000000
0,19733120000000000000
0,21306280000000000000
0,20750710000000000000
0,19412200000000000000
0,18885160000000000000
0,19726470000000000000
0,19094410000000000000
0,19008600000000000000
0,20111130000000000000
0,20946810000000000000
0,18713060000000000000
0,18986440000000000000
0,18332270000000000000
0,18893390000000000000
0,18528180000000000000
0,25901320000000000000
0,31137240000000000000
0,21443710000000000000
0,15432100000000000000
0,21397620000000000000
0,18708250000000000000
0,17464590000000000000
0,20431940000000000000
0,18986100000000000000
0,20061080000000000000
0,19123260000000000000
0,19187320000000000000
0,19853110000000000000
0,19547630000000000000
0,17631710000000000000
0,20633390000000000000
0,17851530000000000000
0,19763370000000000000
0,21322840000000000000
0,23631510000000000000
0,20894770000000000000
0,28488260000000000000
0,61668760000000000000
0,06326632000000000000
0,10444770000000000000
0,15438680000000000000
0,15234930000000000000
0,17120760000000000000
0,17115450000000000000
0,15175190000000000000
0,15153760000000000000
0,19250080000000000000
0,18320750000000000000
0,18826630000000000000
0,15836340000000000000
0,15323280000000000000
0,14765670000000000000
0,17136800000000000000
0,21392720000000000000
0,20452150000000000000
0,25414280000000000000
0,21097970000000000000
0,18572330000000000000
0,19858940000000000000
0,07169329000000000000
0,10000190000000000000
0,10510540000000000000
0,15381120000000000000
0,14585920000000000000
0,13490900000000000000
0,13348050000000000000
0,13769180000000000000
0,12153240000000000000
0,12824980000000000000
0,12389440000000000000
0,13146340000000000000
0,12660250000000000000
0,15333720000000000000
0,09467034000000000000
0,08631917000000000000
0,14190170000000000000
0,08102192000000000000
0,08762445000000000000
0,10665340000000000000
0,14598810000000000000
0,36451190000000000000
0,13959080000000000000
0,13781550000000000000
0,18162120000000000000
0,15552700000000000000
0,11770480000000000000
0,14873110000000000000
0,14593910000000000000
0,11691200000000000000
0,13234590000000000000
0,12552030000000000000
0,13474300000000000000
0,10905020000000000000
0,09740607000000000000
0,11208010000000000000
0,08209638000000000000
0,11196320000000000000
0,04944465000000000000
0,08803333000000000000
0,00692576800000000000
0,22616290000000000000
0,59856670000000000000
0,21125150000000000000
0,23848590000000000000
0,19948450000000000000
0,20013870000000000000
0,16117840000000000000
0,19124040000000000000
0,13660360000000000000
0,14460860000000000000
0,13386620000000000000
0,13456360000000000000
0,13219150000000000000
0,13272140000000000000
0,11606200000000000000
0,13580480000000000000
0,12487110000000000000
0,08364104000000000000
