-8,707704E+15,1,16968E+16,9,956408E+19,1,103577E+07
-4,163916E+16,1,281293E+16,9,955435E+19,1,103577E+07
-8,085815E+16,1,146404E+16,9,956408E+19,1,103577E+07
-1,096632E+17,1,147458E+16,9,945477E+19,1,106024E+07
2,969457E+16,1,048365E+16,9,955435E+19,1,103577E+07
-1,351552E+16,1,114701E+16,9,956408E+19,1,103577E+07
-1,546597E+16,1,020594E+16,1,000244E+20,1,168176E+07
-6,074535E+16,1,039778E+16,1,000578E+20,1,168176E+07
1,344248E+16,1,071377E+16,1,000244E+20,1,168176E+07
5,668547E+15,1,014567E+16,1,000244E+20,1,168176E+07
5,94705E+16,9,883693E+15,1,000244E+20,1,168176E+07
2,948679E+16,9,509572E+15,9,977509E+19,1,17356E+07
-1,17219E+17,7,952524E+15,1E+20,1,238159E+07
-7,839252E+16,8,105663E+15,1E+20,1,238159E+07
-6,46327E+16,8,172203E+15,1E+20,1,238159E+07
-8,612374E+16,7,563512E+15,1E+20,1,238159E+07
-1,33175E+16,9,218301E+15,9,989131E+19,1,238159E+07
-6,631762E+16,8,726874E+15,1E+20,1,238159E+07
-8,882619E+15,6,661589E+15,9,950992E+19,1,315918E+07
7,315349E+16,6,73073E+15,9,99788E+19,1,309937E+07
8,423582E+16,7,095606E+15,9,99788E+19,1,309937E+07
-1,435444E+15,6,603159E+15,9,967653E+19,1,313525E+07
6,846014E+16,7,636528E+15,9,991357E+19,1,309937E+07
3,824685E+15,7,553433E+15,9,991357E+19,1,309937E+07
1,335201E+17,5,359187E+15,9,95727E+19,1,392929E+07
8,618474E+16,6,881872E+15,1,000763E+20,1,3862E+07
7,703128E+16,7,013585E+15,1,000763E+20,1,3862E+07
6,087735E+16,6,910879E+15,1,000069E+20,1,3862E+07
6,282977E+16,7,318494E+15,1,000763E+20,1,3862E+07
6,806932E+16,6,063436E+15,9,959057E+19,1,393677E+07
1,383644E+17,5,613379E+15,9,976136E+19,1,473679E+07
1,606617E+17,5,419041E+15,9,953305E+19,1,473679E+07
1,687622E+17,6,50264E+15,9,968711E+19,1,468872E+07
2,000393E+17,6,136056E+15,9,968711E+19,1,468872E+07
1,800758E+17,5,976146E+15,9,979182E+19,1,468872E+07
1,90969E+17,5,350862E+15,9,976136E+19,1,473679E+07
8,977911E+16,5,51154E+15,1E+20,1,561157E+07
1,204203E+17,5,078586E+15,1E+20,1,561157E+07
1,646829E+17,4,982656E+15,1,00119E+20,1,553467E+07
1,409276E+17,4,932862E+15,9,981937E+19,1,561157E+07
1,148594E+17,5,168249E+15,1E+20,1,561157E+07
1,033946E+17,4,615819E+15,9,991379E+19,1,561157E+07
5,961543E+15,6,049218E+15,9,98361E+19,1,653442E+07
-2,640834E+16,6,717141E+15,9,996377E+19,1,650879E+07
9,85882E+16,5,595628E+15,1,002359E+20,1,645752E+07
-3,821114E+16,6,867601E+15,9,996377E+19,1,650879E+07
-6,794619E+16,7,569861E+15,9,996377E+19,1,650879E+07
-7,558198E+16,6,246327E+15,9,98361E+19,1,653442E+07
3,951571E+17,5,072991E+15,9,947577E+19,1,753418E+07
2,583352E+17,5,631345E+15,9,960683E+19,1,749573E+07
1,672289E+17,5,533443E+15,9,960683E+19,1,749573E+07
1,312873E+17,5,789839E+15,9,960683E+19,1,749573E+07
2,254331E+17,5,542092E+15,9,960683E+19,1,749573E+07
1,756384E+17,5,720339E+15,9,960683E+19,1,749573E+07
5,189558E+17,4,336013E+15,9,962963E+19,1,857239E+07
6,048976E+17,4,12993E+15,9,9911E+19,1,848267E+07
6,565001E+17,4,77842E+15,9,969962E+19,1,851856E+07
6,747577E+17,3,950677E+15,9,968073E+19,1,853394E+07
6,891695E+17,3,531057E+15,9,975598E+19,1,853394E+07
6,824256E+17,3,888864E+15,9,968073E+19,1,853394E+07
2,477975E+17,4,709941E+15,9,934408E+19,1,97644E+07
4,509415E+17,4,685027E+15,9,964993E+19,1,964905E+07
5,612575E+17,4,354095E+15,9,964993E+19,1,964905E+07
6,34001E+17,3,825197E+15,9,964993E+19,1,964905E+07
5,558625E+17,4,363896E+15,9,964993E+19,1,964905E+07
4,884983E+17,4,60943E+15,9,964993E+19,1,964905E+07
5,321249E+17,3,615977E+15,9,896552E+19,2,081543E+07
5,202848E+17,3,545602E+15,9,896552E+19,2,081543E+07
5,793007E+17,4,071533E+15,9,939655E+19,2,081543E+07
5,294136E+17,3,974792E+15,9,939655E+19,2,081543E+07
5,582675E+17,3,971561E+15,9,939655E+19,2,081543E+07
6,338289E+17,4,429053E+15,9,944733E+19,2,077954E+07
2,558868E+17,9,254662E+16,1,01626E+20,7357178
